TIME,LATITUDE,LONGITUDE,MODALITY,SNR,CFO,BLER,INDEX,SEGMENTS,MISS
15:18:20,45.067441167,7.656063,8,10,22.74,,1,172937.ts ,
15:18:21,45.067440833,7.656064,8,10,22.68,,,,
15:18:22,45.067443333,7.656071667,8,10,22.87,,1,,
15:18:23,45.067443833,7.6560755,8,10,22.85,,1,172938.ts ,
15:18:24,45.067444,7.656080167,8,10,23.40,,,,
15:18:25,45.0674455,7.656086167,8,10,22.53,,1,,
15:18:26,45.067448333,7.656092833,8,10,24.23,,1,172939.ts ,
15:18:27,45.067442167,7.656079167,8,10,24.76,,,,
15:18:28,45.067445167,7.656081833,8,10,23.42,,,,
15:18:29,45.067436833,7.6560645,8,10,22.33,,1,172940.ts ,
15:18:30,45.067433,7.656059333,8,10,21.81,,,,
15:18:31,45.067427647,7.656066513,8,10,22.48,,1,,
15:18:32,45.067422293,7.656073693,8,10,21.14,,1,172941.ts ,
15:18:33,45.067416940,7.656080873,8,10,21.73,,,,
15:18:34,45.067411587,7.656088053,8,10,22.61,,1,,
15:18:35,45.067406233,7.656095233,8,10,20.44,,1,172942.ts ,
15:18:36,45.067400880,7.656102413,8,10,20.35,,1,,
15:18:37,45.067395527,7.656109593,8,10,21.60,,1,,
15:18:38,45.067390173,7.656116773,8,10,21.80,,1,172943.ts ,
15:18:39,45.067384820,7.656123953,8,10,21.06,,,,
15:18:40,45.067379467,7.656131133,8,10,20.86,,,,
15:18:41,45.067374113,7.656138313,8,10,20.61,,1,172944.ts ,
15:18:42,45.067368760,7.656145493,8,10,20.62,,1,,
15:18:43,45.067363407,7.656152673,8,10,20.12,,1,,
15:18:44,45.067358054,7.656159853,8,10,18.54,,1,172945.ts ,
15:18:45,45.067352700,7.656167033,8,10,20.76,,1,,
15:18:46,45.067347347,7.656174213,8,10,21.13,,1,,
15:18:47,45.067341994,7.656181393,8,10,20.92,,1,172946.ts ,
15:18:48,45.067336640,7.656188573,8,10,19.49,,1,,
15:18:49,45.067331287,7.656195753,8,10,21.13,,1,,
15:18:50,45.067325934,7.656202933,8,10,22.02,,1,172947.ts ,
15:18:51,45.067320580,7.656210113,8,0,,,1,,
15:18:52,45.067315227,7.656217293,8,10,22.78,,1,,
15:18:53,45.067309874,7.656224473,8,10,21.12,,1,172948.ts ,
15:18:54,45.067304520,7.656231653,8,10,18.72,,1,,
15:18:55,45.067299167,7.656238833,8,10,20.89,,1,,
15:18:56,45.067279500,7.656236111,8,10,21.23,,1,172949.ts ,
15:18:57,45.067259834,7.656233389,8,10,21.42,,1,,
15:18:58,45.067240167,7.656230667,8,10,21.65,,1,,
15:18:59,45.0672095,7.656215333,8,10,19.76,,,172950.ts ,
15:19:00,45.067185667,7.6562195,8,10,18.53,,1,,
15:19:01,45.067154167,7.656204333,8,10,18.36,,1,,
15:19:02,45.067123833,7.656187667,8,0,17.24,,1,172951.ts ,
15:19:03,45.067094833,7.656199833,8,10,18.58,,1,,
15:19:04,45.067079167,7.656151333,8,10,16.59,,,,
15:19:05,45.067075833,7.656099333,8,10,15.34,,1,172952.ts ,
15:19:06,45.067079,7.655985,8,10,13.86,,1,,
15:19:07,45.067083750,7.655949731,8,10,12.77,,1,,
15:19:08,45.067088500,7.655914462,8,10,11.07,,,172953.ts ,
15:19:09,45.067093250,7.655879192,8,10,10.07,,1,,
15:19:10,45.067098000,7.655843923,8,10,9.836,,1,,
15:19:11,45.067102750,7.655808654,8,10,10.06,,1,172954.ts ,
15:19:12,45.067107500,7.655773385,8,10,10.90,,1,,
15:19:13,45.067112250,7.655738115,8,10,11.02,,,,
15:19:14,45.067117000,7.655702846,8,10,11.30,,1,172955.ts ,
